Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
24.06.2016;-98.0;Health Care;Medical;Cash;Левомицитин;;;Uncleared;;Personal Expense;;;1 PCS;;959;
24.06.2016;-410.0;Food;;Cash;пельмени, салат, сыр, кетчуп;;;Uncleared;;Personal Expense;;;1 PCS;;960;
24.06.2016;-420.0;Travel;Bus;Cash;в москва;;;Uncleared;;Personal Expense;;;1 PCS;;961;
24.06.2016;-150.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;962;
25.06.2016;-645.0;Entertainment;Bar;Cash;абаканыч, бингрэ, сыр, шампунь, пена;;;Uncleared;;Personal Expense;;;1 PCS;;963;
25.06.2016;-53.0;Health Care;Dental;Cash;зубная паста;;;Uncleared;;Personal Expense;;;1 PCS;;964;
27.06.2016;-88.0;Travel;Bus;Cash;а красноярске;;;Uncleared;;Personal Expense;;;1 PCS;;965;
27.06.2016;-200.0;Shopping;Cleaning products;Cash;дезадорант;;;Uncleared;;Personal Expense;;;1 PCS;;966;
27.06.2016;-866.0;Entertainment;Bar;Cash;вино и соки красноярск;;;Uncleared;;Personal Expense;;;1 PCS;;967;
28.06.2016;-420.0;Entertainment;Bar;Cash;пиво с Игорем;;;Uncleared;;Personal Expense;;;1 PCS;;968;
28.06.2016;-87.0;Health Care;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;969;
28.06.2016;-44.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;970;
28.06.2016;-45.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;971;
28.06.2016;6199.0;Salary;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;972;
28.06.2016;-124.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;973;
28.06.2016;-500.0;Entertainment;Other;Cash;по енисею;;;Uncleared;;Personal Expense;;;1 PCS;;974;
28.06.2016;-300.0;Entertainment;Other;Cash;лодка;;;Uncleared;;Personal Expense;;;1 PCS;;975;
28.06.2016;-200.0;Food;;Cash;травы чай;;;Uncleared;;Personal Expense;;;1 PCS;;976;
28.06.2016;-638.0;Entertainment;Other;Cash;мороженое;;;Uncleared;;Personal Expense;;;1 PCS;;977;
28.06.2016;-92.0;Entertainment;Other;Cash;мороженое;;;Uncleared;;Personal Expense;;;1 PCS;;978;
29.06.2016;-200.0;Entertainment;Bar;Cash;закуска;;;Uncleared;;Personal Expense;;;1 PCS;;979;
29.06.2016;-2000.0;Entertainment;Bar;Cash;вино с одногруппниками;;;Uncleared;;Personal Expense;;;1 PCS;;980;
30.06.2016;-361.0;Food;;Cash;в автобус;;;Uncleared;;Personal Expense;;;1 PCS;;981;
30.06.2016;-1414.0;Entertainment;Bar;Cash;вино и закуска с игорем;;;Uncleared;;Personal Expense;;;1 PCS;;982;
